gene,log2FoldChange,padj,n_saga,SAGA_KDz
SNAP47,0.62019679682034,0.0159435752109902,10.0,5.935196876525879
CHST12,0.6238836826926171,0.0181825154503607,9.0,5.20100736618042
ACTN4,0.5059115337355162,0.00095221369701,8.0,3.155482053756714
IFI6,0.5625137526772385,0.0390572948098263,8.0,3.6109070777893066
TCF7,-0.9012407345168332,0.0024514186058728,8.0,-4.102930545806885
MYC,-0.9246430157545,0.0255498430148376,8.0,-4.8246259689331055
MAML2,-0.6262682924621201,0.0240217358955567,8.0,4.857355117797852
HINT2,0.6095133814010159,0.0241983788309933,7.0,4.454106330871582
BLOC1S1,0.5009167423166339,0.0374369288197171,7.0,3.1334574222564697
GGH,2.206879687889353,0.0023326564714331,7.0,3.4347705841064453
ADPRH,1.191912693372455,0.0312452455935442,7.0,3.4115188121795654
MAL,-0.9090265932497696,0.0372139077647391,7.0,-2.645651340484619
ANKRD42,-1.1198600286722853,0.0410728269114807,7.0,4.5897722244262695
MIEN1,0.5789722940610743,0.0349843095355698,7.0,5.988282203674316
IFI27L1,1.4696213297270395,0.0186575640339268,6.0,3.720644474029541
APOBEC3G,0.5812355666404168,0.0143341792908213,6.0,-2.111323118209839
MCOLN2,0.771650364512768,0.014912471216381,6.0,2.291738986968994
CX3CR1,1.2424143041784697,0.0337830782060677,6.0,-0.6144765615463257
DNASE2,0.555734993615222,0.0107158765055182,6.0,3.1154284477233887
IFI27L2,0.8012864941253298,0.0061228996696747,6.0,3.6919445991516113
ASL,0.5557127522416913,0.0312694805297782,6.0,2.63200044631958
PRKCA,-1.0997107283351617,0.0081850584460384,6.0,2.2987513542175293
GBP5,0.5204911069275329,0.0235871489209387,6.0,-2.9115028381347656
DIAPH3,1.970397076376926,0.0216756230844147,5.0,1.6924283504486084
LGALS1,0.990459777624128,0.0211138756292284,5.0,1.8403666019439697
PCNA,0.6111256610505345,0.0216756230844147,5.0,-1.0747957229614258
BLVRA,0.6328895821260171,0.024134056317364,5.0,1.790249228477478
GRN,0.5486566012128617,0.04488448255021,5.0,2.4304568767547607
TOM1L2,-0.5895176711783757,0.0392762668517476,5.0,2.1344168186187744
FANCL,0.6351930507653146,0.0464139812424769,5.0,2.6793618202209473
GTDC1,0.5518186064547604,0.0441325112196101,5.0,1.688111662864685
IFI35,0.654515967018638,0.0481387732144496,5.0,2.258296251296997
RNF144A,-1.7582995047789107,0.0211138756292284,5.0,-2.3164875507354736
ACTN1,-0.9053116224894944,0.0143341792908213,5.0,2.4848341941833496
PRF1,0.6009727720828683,0.0452241558361965,5.0,2.36531138420105
KATNA1,0.6194771512563323,0.0412435247947254,5.0,-2.2546021938323975
PRC1,1.0621552008334725,0.011008644332469,5.0,1.8792874813079834
RASGRP2,-0.7486575940484544,0.026539872033659,5.0,-3.2145724296569824
FADS1,1.488114287427558,0.0055091119321533,4.0,-0.9907678365707397
ANXA5,0.6027781981001215,0.000239572834279,4.0,2.3816771507263184
GOLIM4,0.9670080091102498,0.0211138756292284,4.0,1.9811134338378906
TMEM167A,0.5348803541718539,0.0241983788309933,4.0,-1.9584903717041016
FAM111B,2.068437117580884,0.0221091058926756,4.0,-1.4989656209945679
CCR7,-1.2241554730891753,0.0057087560947116,4.0,-1.5848215818405151
SESN1,-0.856735056864683,0.0389733692010431,4.0,-1.3459644317626953
CLIC3,0.8513207595679774,0.0483697917304795,4.0,1.7745555639266968
DCAF12,0.637029239914177,0.0260684138198522,4.0,1.0259954929351807
FOXP1,-0.6622318273755169,0.0007656678325491,4.0,2.143008232116699
RRM2,1.8940743027032465,0.0123965205907985,4.0,-1.0881379842758179
ZNF14,-0.9793978972834424,0.0093986168727991,3.0,-1.15062415599823
APBA2,-1.3806654746882463,0.016062013862077,3.0,0.9957170486450195
TMEM71,-0.7714872068234879,0.0493255699262442,3.0,2.001713275909424
ZNF141,-0.5885133518212325,0.0341769274632092,3.0,-1.110528588294983
ARSG,-0.6987186062670692,0.032011134266401,3.0,1.3145077228546143
FAM117B,-1.242343171437016,0.0115413003054787,3.0,-0.9440686106681824
ANLN,1.6106616844833226,0.0200231647317079,3.0,1.2124862670898438
MEX3C,0.6622043096132536,0.0181057370775291,3.0,1.5412863492965698
TBC1D7,0.6760336832678356,0.0374369288197171,3.0,1.6351639032363892
ICAM2,-0.5541055035321111,0.0399897340013174,3.0,-1.5577516555786133
TP73,1.390515624383253,0.0143341792908213,3.0,1.4581712484359741
SLC25A1,0.715718913357575,0.0372139077647391,3.0,1.4118207693099976
TMEM70,0.6141999014238365,0.0181057370775291,3.0,-0.8784300684928894
TMEM127,0.6637141977268385,0.0134777660571574,3.0,1.56179678440094
WEE1,0.9117566836075528,0.0112950488220924,3.0,-1.3650109767913818
EZH2,0.5739364973867466,0.0057087560947116,3.0,-1.0734626054763794
POMP,0.5383698571170701,0.0033066284751444,3.0,1.5096123218536377
RAD51AP1,2.1173252032591,0.0060519320408123,3.0,1.327804684638977
SPC24,1.764597777314474,0.0061228996696747,3.0,0.8758755922317505
CCDC50,0.6299036327912761,0.048963376973409,3.0,1.5120162963867188
CCNF,1.443879870398631,0.0055091119321533,2.0,-1.2200114727020264
MELK,1.9516881173430471,0.0083740449360539,2.0,1.332857608795166
SERINC5,-0.8217400693326629,0.002046882882674,2.0,-1.3249897956848145
ATM,-0.6615840865035658,0.0041442302314019,2.0,-0.8439351916313171
SELL,-0.7064302484139771,0.0143341792908213,2.0,0.8608883619308472
DENND4C,-0.5616066612927936,0.0033066284751444,2.0,-0.9242602586746216
STMN3,-0.858870859381338,0.0143341792908213,2.0,0.3399948477745056
C9orf72,-0.7251942227850915,0.016062013862077,2.0,1.2379703521728516
BORA,0.8336684783756334,0.0499358230415247,2.0,1.1980253458023071
PDE8A,-0.8965964966242278,0.0312694805297782,2.0,1.6548423767089844
ULK1,0.6527026618513805,0.0483361937547924,2.0,0.20779404044151306
RASSF4,1.301661744950011,0.0467064967547809,2.0,1.0124199390411377
YPEL2,-0.8172251296019495,0.0453002431473172,2.0,0.539759635925293
VAMP5,0.5051217825298222,0.0312694805297782,2.0,1.1567423343658447
MXD3,0.8170643391128712,0.0261494886965063,2.0,-0.8046897649765015
UBE2T,0.9823803290792958,0.0320812627846681,2.0,1.16916024684906
NUDT1,0.6478405583577217,0.04488448255021,2.0,1.5008912086486816
SLC43A3,0.5915346363858573,0.0384995654514471,2.0,0.9586416482925415
RNASEH2A,0.8780572530656267,0.0252495671226715,2.0,0.6947862505912781
OASL,0.8899046855049009,0.0046441968133457,2.0,0.3337714374065399
NDUFA7,0.6341570515037512,0.0057087560947116,2.0,1.1140538454055786
DHCR24,1.660911404273181,0.0056283048343139,2.0,-1.1205171346664429
NABP2,0.7990936221341732,0.0034484317233639,2.0,1.1270884275436401
ECT2,1.84638263345286,0.0060519320408123,2.0,1.3337138891220093
MKI67,1.644302653839213,0.0093986168727991,2.0,-0.8858887553215027
MTHFD1,0.6473264891888907,0.0107158765055182,2.0,-1.2760586738586426
SMIM12,0.5960882266779232,0.0372139077647391,2.0,-0.9898039698600769
CKS1B,0.8058649718601805,0.0360784309026159,2.0,0.9361481666564941
SEC14L1,0.6609034885361983,0.0175825447047508,2.0,1.0596165657043457
SMC2,0.9713207017206004,0.019912514220312,2.0,1.560274362564087
MAD2L1,0.8886376924206194,0.0299267708089698,2.0,0.7793976068496704
ZDHHC12,0.5889895662398029,0.017441956394416,2.0,1.2987968921661377
DUSP23,0.6375692462037679,0.0181057370775291,2.0,1.2431526184082031
ARHGAP11A,1.0900448527064674,0.0123965205907985,2.0,0.20513096451759338
BUB1B,1.494860976897577,0.024134056317364,2.0,1.2202351093292236
E2F7,2.223958078249945,0.0123965205907985,1.0,0.7768418192863464
APOBEC3H,1.1804326650149466,0.0093986168727991,1.0,0.27081355452537537
CENPM,1.0401148223563577,0.0087517664725486,1.0,0.6865953803062439
TOP2A,1.489784215893328,0.0080611328690735,1.0,-0.9480053186416626
SHCBP1,2.1933670627337385,0.0061228996696747,1.0,0.9329645037651062
TK1,2.1777070853451845,0.005768287377098,1.0,0.9769333600997925
CKAP2L,1.9756455193925293,0.0060519320408123,1.0,0.7463623285293579
DLGAP5,2.31807987728594,0.0033066284751444,1.0,-0.07220570743083954
EPSTI1,0.8387673077218101,0.0032722554432412,1.0,1.3216222524642944
SKA1,2.4546188445858474,0.0033066284751444,1.0,1.1605887413024902
ZWINT,1.577878713446755,0.0033066284751444,1.0,0.6680558919906616
MAMLD1,1.7808920652649562,0.0055091119321533,1.0,0.4027494788169861
PSMD14,0.7364784899246103,0.0012114859196468,1.0,1.1283409595489502
CCNA2,1.5393981547735152,0.0025578388785501,1.0,-0.3246282935142517
LMNB1,0.9187342671745236,0.0029718532195344,1.0,-0.9537787437438965
KIF11,2.0121711069904067,0.0003499112112034,1.0,0.33037394285202026
POLQ,1.8763701998290312,0.0119002170086961,1.0,0.4067663252353668
PARL,0.5470288569542008,0.0149721690465078,1.0,-0.15937745571136475
GINS2,1.4826726689909389,0.0123965205907985,1.0,-0.6590483784675598
MCM2,1.388731892095663,0.0134243554146861,1.0,-0.29134607315063477
CCNE2,1.5488612602295189,0.0138644654628236,1.0,-1.035459280014038
GTSE1,1.905402369830291,0.0139333279251794,1.0,0.3874100148677826
CCL4,0.8913413441798248,0.0139384566115437,1.0,-1.0906083583831787
TRIP13,1.7621989446616908,0.0181825154503607,1.0,0.9411876797676086
HJURP,1.813351617601438,0.0149118999566319,1.0,-0.7171298861503601
NCAPH,1.0558893205002424,0.0129697711772391,1.0,0.6708884835243225
FABP5,0.8044339755985762,0.0240217358955567,1.0,-0.8925153613090515
PLEK,0.878334132334807,0.0224621130513564,1.0,-0.4170956611633301
DTL,1.3766357829917997,0.0204108206251112,1.0,0.06072337552905083
BRCA2,1.2550606226184526,0.0211138756292284,1.0,0.5086115598678589
MSMO1,0.8229443100634989,0.0216756230844147,1.0,-1.0111083984375
CDCA8,1.6891759428301705,0.0320812627846681,1.0,0.45654287934303284
ESCO2,1.5400145246159282,0.0352806260950536,1.0,0.6961168050765991
YIF1B,0.5742964291690417,0.026539872033659,1.0,0.7949708104133606
RNF26,0.8692283803859863,0.0284069306300681,1.0,0.3622669279575348
CIITA,0.7680152025715934,0.02983096955145,1.0,0.5621104836463928
CENPN,0.8473035909301084,0.024203829485098,1.0,1.1536979675292969
IFI30,0.9003500567597146,0.0252495671226715,1.0,1.3189616203308105
PLEKHA5,1.030790075017996,0.0252495671226715,1.0,0.7808298468589783
CENPW,2.0614014188662524,0.024134056317364,1.0,0.6339331269264221
TTK,2.0670021493088058,0.0240811976384168,1.0,1.0631792545318604
CCNB1,1.2588987279649888,0.0235871489209387,1.0,0.13950824737548828
CCNB2,1.534823544957884,0.0398120169257849,1.0,-0.056073952466249466
LRRC45,1.1091711393571535,0.0399897340013174,1.0,-0.8135469555854797
DERL3,1.86442836529038,0.0398638545951439,1.0,-1.3996374607086182
SRC,1.7480303567967488,0.04130984135744,1.0,0.5775452852249146
CPPED1,1.0158497395619814,0.0453123190383854,1.0,0.27506890892982483
TMEM63A,-0.6435593935747166,0.0453002431473172,1.0,-0.6009454131126404
CLYBL,-0.8431035054367738,0.0428878587615403,1.0,-0.5383102297782898
DHDDS,0.6507673927729032,0.045355275560012,1.0,0.7570437788963318
KIF20A,2.0580481742939964,0.0390572948098263,1.0,0.7020624279975891
GPX7,0.8139969820949707,0.0383104929558741,1.0,-1.0106464624404907
C6orf47,0.5752087370206029,0.0399897340013174,1.0,0.828101634979248
ESYT2,-0.6105085317831219,0.0332613485398254,1.0,1.124495506286621
BEX2,-1.0657100526585346,0.029632846760446,1.0,-0.7562116980552673
SLC40A1,-1.5751110757557338,0.0346060057982902,1.0,1.0562528371810913
AK9,-0.9841098480444124,0.0372267386252399,1.0,0.8974765539169312
APBB3,-0.5272204113587988,0.0119893070785552,1.0,0.4101547300815582
IGF1R,-1.7557316826297047,0.0115413003054787,1.0,-0.3198074698448181
PASK,-0.7872382720567597,0.0055091119321533,1.0,0.29968491196632385
LDLRAP1,-0.960569579943582,0.0033202803801409,1.0,0.5365554690361023
METTL21A,-0.7177822956362279,0.0017077329281615,1.0,0.9147321581840515
LEF1,-1.0765464320627929,0.0004926611869497,1.0,-0.696977436542511
