gene,log2FoldChange,padj,n_ifn,IFN_KDz
GBP1,0.6757925756407381,0.0143341792908213,5.0,-1.5941914319992065
IFI6,0.5625137526772385,0.0390572948098263,5.0,-2.988994598388672
EPSTI1,0.8387673077218101,0.0032722554432412,4.0,-3.0716004371643066
IFI30,0.9003500567597146,0.0252495671226715,3.0,-2.137544631958008
GBP5,0.5204911069275329,0.0235871489209387,3.0,-0.19746726751327515
GBP4,0.590872069123316,0.0020013600809196,3.0,-1.8115336894989014
BLVRA,0.6328895821260171,0.024134056317364,2.0,-1.186704158782959
MAN1C1,-1.318011526336572,0.0399897340013174,2.0,0.013517451472580433
IFI35,0.654515967018638,0.0481387732144496,2.0,-1.8662859201431274
MCM4,1.3661453004661772,0.0012986187781521,1.0,-0.5917831063270569
KIF11,2.0121711069904067,0.0003499112112034,1.0,-0.9527047872543335
NABP2,0.7990936221341732,0.0034484317233639,1.0,-0.4115404486656189
TPX2,1.6948419244147317,0.0038617974930849,1.0,-1.2023723125457764
CCNA2,1.5393981547735152,0.0025578388785501,1.0,-1.1184122562408447
GGH,2.206879687889353,0.0023326564714331,1.0,-0.7115267515182495
LMNB1,0.9187342671745236,0.0029718532195344,1.0,-1.3136255741119385
SKA1,2.4546188445858474,0.0033066284751444,1.0,-0.8672167062759399
ZWINT,1.577878713446755,0.0033066284751444,1.0,-0.7409500479698181
DLGAP5,2.31807987728594,0.0033066284751444,1.0,-1.1387858390808105
FADS1,1.488114287427558,0.0055091119321533,1.0,0.12455131113529205
CLSPN,1.840760386617538,0.0055091119321533,1.0,-1.0177189111709595
EZH2,0.5739364973867466,0.0057087560947116,1.0,-0.8492536544799805
DHCR24,1.660911404273181,0.0056283048343139,1.0,-0.3810894191265106
CKAP2L,1.9756455193925293,0.0060519320408123,1.0,-0.7482525110244751
ECT2,1.84638263345286,0.0060519320408123,1.0,-0.893631637096405
SHCBP1,2.1933670627337385,0.0061228996696747,1.0,-0.7998682260513306
TK1,2.1777070853451845,0.005768287377098,1.0,-0.9787625074386597
CDC45,2.033411182622464,0.0067065384289509,1.0,-0.4694952368736267
TOP2A,1.489784215893328,0.0080611328690735,1.0,-1.0674222707748413
MELK,1.9516881173430471,0.0083740449360539,1.0,-1.0439554452896118
CENPM,1.0401148223563577,0.0087517664725486,1.0,-0.8660014271736145
MKI67,1.644302653839213,0.0093986168727991,1.0,-1.0411161184310913
RAD51,2.0352748266532257,0.0097723806895076,1.0,-0.7612063884735107
CDCA5,1.9947090543830217,0.0098737701871411,1.0,-1.21454656124115
SPC24,1.764597777314474,0.0061228996696747,1.0,-0.899139404296875
MTHFD1,0.6473264891888907,0.0107158765055182,1.0,-1.03891921043396
NUSAP1,1.0535472887662347,0.0107158765055182,1.0,-0.9819045066833496
C12orf75,0.8688732261259529,0.0112950488220924,1.0,-0.7611047029495239
PRC1,1.0621552008334725,0.011008644332469,1.0,-0.9852064847946167
E2F7,2.223958078249945,0.0123965205907985,1.0,-0.6059635281562805
ARHGAP11A,1.0900448527064674,0.0123965205907985,1.0,-0.6692557334899902
GINS2,1.4826726689909389,0.0123965205907985,1.0,-0.43362316489219666
RRM2,1.8940743027032465,0.0123965205907985,1.0,-0.7841174006462097
NCAPH,1.0558893205002424,0.0129697711772391,1.0,-0.8595158457756042
WDR76,0.6751162672318256,0.0129699174358095,1.0,-0.8501502871513367
KIFC1,1.78194649038058,0.0042781446734258,1.0,-0.8763251304626465
KIF18B,2.069401096987718,0.0043201690352323,1.0,-1.0748153924942017
CDC20,1.9892306803228552,0.0049809455005114,1.0,-1.1465827226638794
CCNF,1.443879870398631,0.0055091119321533,1.0,-1.072495698928833
CDKN3,1.512469581653169,0.0055091119321533,1.0,-0.9740233421325684
ANXA5,0.6027781981001215,0.000239572834279,1.0,-1.5212053060531616
APOBEC3G,0.5812355666404168,0.0143341792908213,1.0,-1.1021260023117065
CDKN2A,1.0310848758544895,0.0143341792908213,1.0,-0.17205598950386047
CCL4,0.8913413441798248,0.0139384566115437,1.0,-0.9515784382820129
GTSE1,1.905402369830291,0.0139333279251794,1.0,-0.8665269613265991
MCM2,1.388731892095663,0.0134243554146861,1.0,-0.49491700530052185
CCNE2,1.5488612602295189,0.0138644654628236,1.0,-0.8864365816116333
CHST12,0.6238836826926171,0.0181825154503607,1.0,-1.6218055486679077
SPC25,1.9065997175551348,0.0143341792908213,1.0,-0.8147540092468262
DTL,1.3766357829917997,0.0204108206251112,1.0,-0.775696337223053
GOLIM4,0.9670080091102498,0.0211138756292284,1.0,-0.30596834421157837
LGALS1,0.990459777624128,0.0211138756292284,1.0,-0.7234456539154053
FEN1,1.164542276892904,0.0216756230844147,1.0,-0.8615255355834961
HMMR,1.662292930439733,0.0216756230844147,1.0,-0.8476608991622925
HJURP,1.813351617601438,0.0149118999566319,1.0,-1.0066859722137451
MCOLN2,0.771650364512768,0.014912471216381,1.0,0.0747055858373642
TRIP13,1.7621989446616908,0.0181825154503607,1.0,-0.8292231559753418
CDK1,1.5334587525009509,0.0216756230844147,1.0,-1.0661448240280151
DIAPH3,1.970397076376926,0.0216756230844147,1.0,-0.5053530931472778
PCNA,0.6111256610505345,0.0216756230844147,1.0,-0.7807233333587646
TYMS,1.1794573343616737,0.0216756230844147,1.0,-0.9415478706359863
CCNB1,1.2588987279649888,0.0235871489209387,1.0,-1.3280253410339355
FAM111B,2.068437117580884,0.0221091058926756,1.0,-0.9791868329048157
FABP5,0.8044339755985762,0.0240217358955567,1.0,-0.3977459669113159
IDH2,0.5464815796022313,0.0217502321371681,1.0,-1.3817799091339111
TTK,2.0670021493088058,0.0240811976384168,1.0,-0.8647769689559937
CENPW,2.0614014188662524,0.024134056317364,1.0,-1.0941801071166992
CENPN,0.8473035909301084,0.024203829485098,1.0,-0.9034606218338013
TMEM167A,0.5348803541718539,0.0241983788309933,1.0,-0.45913657546043396
CIT,1.5199087436035024,0.0249765860103604,1.0,-0.8002617955207825
AURKB,1.8810585351280744,0.018899120710978,1.0,-0.9029744863510132
SMC2,0.9713207017206004,0.019912514220312,1.0,-1.2091583013534546
ANLN,1.6106616844833226,0.0200231647317079,1.0,-0.8190051317214966
GMNN,0.8650247051752282,0.0261494886965063,1.0,-0.8980087041854858
KIF2C,1.502484246892116,0.0252495671226715,1.0,-0.970703125
SKA3,1.5912178441129374,0.0252495671226715,1.0,-0.8571456670761108
MAD2L1,0.8886376924206194,0.0299267708089698,1.0,-0.7591735124588013
CENPE,1.1184630466771688,0.0320812627846681,1.0,-0.9874711036682129
CX3CR1,1.2424143041784697,0.0337830782060677,1.0,-0.9041436314582825
UBE2T,0.9823803290792958,0.0320812627846681,1.0,-0.8531771898269653
VAMP5,0.5051217825298222,0.0312694805297782,1.0,-0.4940403401851654
CKS1B,0.8058649718601805,0.0360784309026159,1.0,-1.0208348035812378
SLC43A3,0.5915346363858573,0.0384995654514471,1.0,-0.3094305396080017
KIF20A,2.0580481742939964,0.0390572948098263,1.0,-1.213468313217163
CCNB2,1.534823544957884,0.0398120169257849,1.0,-1.0423774719238281
LRRC45,1.1091711393571535,0.0399897340013174,1.0,-0.806994616985321
BIRC5,1.664473253639837,0.0410728269114807,1.0,-1.2253916263580322
ASF1B,1.7427683865581116,0.0357996636521584,1.0,-1.113259196281433
CDCA8,1.6891759428301705,0.0320812627846681,1.0,-1.0164353847503662
NDC80,0.919269381007214,0.0415484742061289,1.0,-0.7276630997657776
CEP55,1.6976142748621017,0.0412634956100059,1.0,-1.3804943561553955
CDCA2,1.5285323895295204,0.0460673805986081,1.0,-0.8378980755805969
NUDT1,0.6478405583577217,0.04488448255021,1.0,-0.8985937237739563
NCAPG2,1.0455443141899414,0.0483361937547924,1.0,-0.8445860743522644
TMEM63A,-0.6435593935747166,0.0453002431473172,1.0,0.7110352516174316
ICAM2,-0.5541055035321111,0.0399897340013174,1.0,0.3766096234321594
ESYT2,-0.6105085317831219,0.0332613485398254,1.0,0.08084852993488312
MYC,-0.9246430157545,0.0255498430148376,1.0,0.38482850790023804
RNF144A,-1.7582995047789107,0.0211138756292284,1.0,-0.42564550042152405
ZNF14,-0.9793978972834424,0.0093986168727991,1.0,0.3387109935283661
PRKCA,-1.0997107283351617,0.0081850584460384,1.0,0.7581533193588257
TXK,-1.0333555840725437,0.0069728334086065,1.0,0.48622021079063416
ATM,-0.6615840865035658,0.0041442302314019,1.0,0.42966610193252563
TCF7,-0.9012407345168332,0.0024514186058728,1.0,0.9474853277206421
FOXP1,-0.6622318273755169,0.0007656678325491,1.0,0.5482951402664185
